,書名,類別,字數,大綱,狀態,評分
1958,與勇者的你再一次由此開始,奇幻 魔法 戰鬥 冒險 戀愛,12.1萬,書店店員們絕佳好評！ 2019年最令人感動落淚的奇幻故事！ 這是未能獲得救贖的少女，以及一度接近放棄的青年，直到獲得幸福...,完結,9.7
1959,繼母的拖油瓶是我的前女友（漫畫）,校園 歡樂向 青春 戀愛 後宮,0萬,兩周前我跟初戀分手了，一周前我驚訝地知道她是新媽媽的女兒，現在我們為了讓父母放心，台上表面親密，台下拚命互黑。,連載,9.3
1960,魔帚學院,校園 青春 後宮,12.3萬,人氣作家逢空萬太所描寫， 翱翔於天際的少年少女們的故事， 在此拉開序幕!! 跨坐在名為布魯姆的掃把型道具上飛行的競技，...,連載,9.8
1961,魔導駭客》暴露吧，魔法的脆弱性,科幻 魔法 戰鬥 冒險 後宮,16.8萬,日本暢銷輕小說家鎌池和馬呈獻的新作品，不是科學與魔法交錯，而是在猶如科學的魔法世界中，用槍械施展魔法 綻放神聖光輝的...,連載,10
1962,惡魔×膽小鬼 勇氣靈魂,歡樂向 戰鬥 後宮 青梅竹馬,10.2萬,知名作家橘ぱん所描寫， 膽小惡魔少女與變態姊姊 爭奪普通少年的色色故事♥ 魔界的七名皇帝候補成員之一，亞雷莎．庫亞弗魯...,連載,9.3
1963,冰劍的魔術師將會統一世界,奇幻 戰鬥 冒險 龍傲天 後宮,9.9萬,無數偉大魔術師輩出的名門，阿諾德魔術學院。 少年雷伊·懷特，作為學院有史以來唯一一個一般家庭出身的魔術師，將要在這裡入...,連載,9.5
1964,理組的她，勾引人的技巧實在笨...,鬥智 戰鬥 青春 戀愛,6.9萬,頭腦清晰，戀愛的新感覺戀愛喜劇！ 你和我的戀愛契合度，就由我來證明給‧你‧看。 可愛的女生用算式和理論發動誘惑攻勢!? ...,完結,10
1965,在異世界與黑精靈妻子輕鬆開拓...,奇幻 戰鬥 龍傲天 後宮 人外,6.7萬,前勇者悠閑自得、隨心所欲的自給自足生活♪ 當主角轉生到異世界成為勇者，過了六百年後—— 「我已經厭倦拯救世界了。我想要悠...,連載,9.6
1966,項羽小姐與劉邦先生,穿越 冒險 戀愛 後宮,12.7萬,平凡上班族轉生為（可能是）未發跡的漢高祖劉邦，跟女體化的眾多秦末漢初知名歷史人物展開一段驚心動魄又有些許香艷刺激的亂...,連載,8.6
1967,COP CRAFT (全緝毒狂潮),奇幻 冒險 懸疑 戰鬥 戀愛,53.4萬,十五年前，太平洋上赫然出現了一個連接異世界的大門。對面的世界——塞瑪尼世界擁有著與數百年前的地球類似的文明，現在，來自...,連載,10
1968,29與JK,歡樂向 戀愛 後宮 青梅竹馬 JK,86.1萬,槍羽銳二是個眼神雖然令人退避三舍，不過在公司則受到另眼看待的29歲社畜。 他喜歡電動和漫畫，假日在網咖追求療愈，艱辛地...,連載,9.6
1969,沉月の鑰,奇幻 冒險 歡樂向,88.8萬,身為一個普通老百姓的范統，從來沒想過一覺醒來就到了異世界，還被宣告已經死亡這種事情會發生在自己身上。 要在新世界好好...,完結,10
1970,書與鑰匙的季節,校園 懸疑 青春,10.7萬,這裡是某所高中的圖書室。 擔任圖書委員的我們老是遇到有人帶著謎題找上門。 我是堀川次郎。（經常被人求助的高二學生。） ...,完結,9.9
1971,就算是哥哥有♡就沒問題了對吧,校園 歡樂向 後宮 青梅竹馬,104.6萬,原本因為家庭因素而不得不分居的姬小路家兄妹，如今終於能重逢並住在同一個屋檐下。面對戀兄情結嚴重的妹妹秋子強勢相逼，身...,完結,9.7
1972,P.S.致對謊言微笑的你,校園 青春 戀愛,27.3萬,第二學期第一天，過著空洞的每一天的我──筱山正樹陷入混亂。 一名只有我不認識的少女若無其事現身在教室。 而且，在同學與...,完結,9.8
1973,舞鏟幼女與魔眼王,穿越 冒險,10.3萬,以某個事件為契機，在憎恨和後悔中結束了人生的高中生炭原繼人。本應該死了的他醒來的地方是在陌生的山洞裡。放眼望去，那裡...,連載,9.5
1974,水木繁子同學與我被紅線緊緊相系,懸疑 歡樂向 青春 戀愛,9.7萬,今天是我轉學的第一天，現在這個時間原本非抵達學校不可，我卻在挖洞，準備埋屍體。 我沿著左手的「某樣物體」回頭看去。那...,連載,9.7
1975,沒有做完的告別作業,奇幻 懸疑 青春 戀愛,7萬,遙遠水面有遺忘之物 十里之海分隔的對面 無解的障礙向神發問 時而打開門扉的，時之波 解開追逐時間的時間穿越,完結,10
1976,千劍魔術劍士,魔法 冒險 龍傲天 後宮 女兒,35.8萬,阿爾迪斯身懷歷史上從未有紀錄的魔術「劍魔術」。 身為傭兵的他，某天接受委託的歸途上遇見了在這世界上被視作「禁忌之子」...,完結,9.7
1977,將放言說不會輸的高顏值女孩，...,校園 青春 戀愛 女性視角,6.8萬,「主導權的爭奪!一場激烈的百合之戰，開幕!」 大小姐學園的超級姊姊大人紅羽彩良，被美少女對手提出了決一勝負。 在兩個月...,完結,9.8
1978,底層劍士與神獸〈女兒〉的日常生活,奇幻 冒險 青梅竹馬 人外 女兒,46.3萬,住在迷宮都市的少年劍士·亞德，因為本身受到【厄運】的祝福，無法以冒險維生。有一天，他誤入陷阱被送去某個地方，在那裡撿到...,完結,9.2
1979,歡迎來到日本，♀精小姐,奇幻 穿越 冒險 戀愛 人外,8.4萬,上班族北瀨一廣唯一的興趣就是睡覺。 他從小就在不可思議的夢中世界進行刺激的冒險。 某次與在夢中結識的妖精少女冒險時，...,連載,9.9
1980,14歲與插畫家,歡樂向 青春 職場 後宮 JC,41.2萬,「輕小說的插畫一本是三十萬圓，稅金、房租跟電腦的費用都是從這裡支付。」 走在特殊癖好業界最前端的職業插畫家京橋悠斗，...,連載,9.6
1981,今天開始靠蘿莉吃軟飯！,後宮 歡樂向,44.2萬,沒想太多就以漫畫家為目標的我──天堂春， 在某一天以「這樣也行？」的方式登上了人生勝利組寶座。 至於原因，則是靠自己投...,連載,10
1982,垃圾遊戲 online(暫定),經營 後宮 歡樂向,14.8萬,不只打怪練等，玩家甚至要包下所有營運工作!? 《劍與魔法Online》是全255層的樓層攻略型VRMMO遊戲，其中隱藏著可怕的秘密——...,連載,9.9
1983,英雄轉世為英雄の女目標再度成...,穿越 冒險 人外,46萬,與魔神戰鬥後喪命的英雄──雷德，竟然轉世為生前冒險夥伴夫妻的女兒！？ 作為一名小嬰兒甦醒後，雷德的自尊認定「怎麼能吸從...,連載,9.2
1984,知道天空有多藍的人啊 Alternat...,科幻 音樂 青春 戀愛,7.3萬,★日本超人氣動畫《未聞花名》（《我們仍未知道那天所看見的花名》）、《好想大聲說出心底的話》原班團隊「超和平BUSTERSs」最...,完結,9.9
1985,Shadow Taker : 黑の彼方,奇幻 校園 異能 戰鬥 戀愛,9.6萬,從異世界逃來的怪物，為了具現化只能寄宿在人類心靈縫隙中，它們驅使人類、捕食人類，藉由人類逐漸強化自己的力量，最終取代...,連載,10
1986,只要長得可♡，即使是變態你也喜...,校園 歡樂向 青春 戀愛 後宮 ,0萬,變態們接踵而至的戀愛喜劇！！,連載,9.8
1987,Fate Apocrypha,奇幻 魔法 戰爭 大逃殺 戀愛,84.2萬,曾經，在名為冬木的城市，七組魔術師與英靈展開了聖杯戰爭。但是，趁著第二次世界大戰的混亂，某一個魔術師將聖杯強行奪走了...,完結,9.4
1988,五等分的花嫁（漫畫）,校園 戀愛 後宮 歡樂向,0萬,過著貧困生活的高中二年級學生上杉風太郎，找到了一份條件非常好的家庭教師兼職。然而要教導的學生居然是同級生！而且還是五...,完結,9.9
1989,中了40億圓樂透的我要搬到異世...,穿越 經營 後宮,84.8萬,偶爾買的樂透中了40億元， 一夕致富的志野一良為了逃避聞到錢味而聚集的鬣狗們，躲到祖傳的鄉下老房子避難，沒想到那房子居...,連載,9.8
1990,第8號學生食堂少女,職場 美食 戰鬥 後宮 ,26.4萬,高中二年級的米田白由於有重度味噌過敏而逃到了東京。有一天，妹妹那古乃為了將白帶回家鄉而來到東京，誰知白打工的學生食堂...,完結,9.8
1991,非宅女友對我的H遊戲感到興緻勃...,校園 歡樂向 青春 後宮,36.2萬,考試全科滿分，謹守校規的資優生。當然也不知道什麼成人遊戲的非宅美少女・水崎萌香…… 「請讓我成為你的──女友（奴隸）。」 ...,連載,9.5
1992,戀♡至上都市的雙騎士,奇幻 戰鬥 歡樂向 戀愛,30.5萬,最強的雙騎士勇也及藍葉被派去執行任務的世界── 竟是戀愛產生的情愫會轉變為高強力量的「戀愛至上都市」！ 背負眾人期待，...,完結,9.8
1993,從同居開始的御宅族女友交往方法,校園 歡樂向 青春 戀愛 後宮,42.6萬,如果要找女友，宅女是最好不過的了。如果是黑長直清秀系，順帶喜好美少女題材的話，就更棒了！ 然而！「這可是你說的，要讓...,完結,9.7
1994,Re:從零開始的異世界生活（漫畫）,奇幻 冒險 異世界,2.4萬,在從便利商店回家的路上，突然被異世界召喚的阿宅學生菜月昂，包括他在內，那些知識和武力都不行、走投無路的凡人們，在這個...,連載,9.3
1995,等待彩虹的女孩,科幻 懸疑 戀愛,16萬,選擇以劇場型自殺事件結束生命的天才女孩， 內心隱藏的秘密，將透過再生的AI而揭露…… 二〇二〇年，研究者工藤在設計出能與...,完結,10
1996,羅德斯島戰記 誓約の寶冠,奇幻 冒險 戰爭 戀愛 人外,9.4萬,★少年將與「永遠之少女」展開新的冒險旅程…… 「被詛咒之島」羅德斯。 籠罩戰亂的這片大地，也終於在英雄們的活躍之下迎來和...,連載,9.1
1997,魔術學院第一名畢業的我成為冒...,奇幻 魔法 冒險 龍傲天 後宮,35.4萬,威廉身為魔術學院成績第一的畢業生，拓展在他眼前的是收入優渥、工作穩定的康庄大道，然而他卻選擇充滿自由與可能性的冒險者...,連載,9.7
1998,現實主義勇者的王國重建記,穿越 奇幻 經營 戰爭 後宮,54.1萬,「哦哦，勇者啊！」 被這種千篇一律的字句召喚至異世界的相馬一也的冒險──並未展開。將自己的富國強兵之策獻給國王之後，國...,連載,9.9
1999,在這個世界中，與你再度相戀,穿越 青春 戀愛 女性視角,9.3萬,我改變了過去，縱然那是不被允許的。 少年‧新與交往中的少女‧旭，突然分手了。 仍然對這段戀情念念不忘的旭升上高中後， ...,完結,9.9
2000,美少女忍者們偷窺了老師秘密的結果,戰鬥 歡樂向 戀愛 後宮,12.1萬,老師，請教給我們各種事情吧！ 比現在更遠的未來，架空的日本。在與外國的騎士與槍士進行歷次激戰之後負傷的忍者、杉宿總霸...,連載,10
2001,成為星星的少女,校園 青春 女性視角,6.8萬,這個夢想，讓四名少女相遇。 高中一年級的主角東由宇立志「一定要當上偶像」，她的校園生活貫徹「四大原則」——「不使用社群...,完結,9.6
2002,野花通信,校園 戀愛 女性視角,22萬,橫濱，教會系貴族女校上學的，野野原茜（野野）和牧田花。 出身平民家庭，頭腦清晰，冷靜毒舌的野野， 外交官家庭出身，天...,完結,8.6
2003,躺著也中槍的異世界召喚記,穿越 戰鬥 校園 青春 戀愛,33.2萬,捲入異世界召喚的少年們， 迎接他們的命運將會是──！？ 清醒過來時，他們發現自己已經身處在異世界之中。 優斗、修、卓也...,連載,9.4
2004,最後再拜託您一件事可以嗎,魔法 戰鬥 冒險 大小姐 女性視角,8.7萬,第二王子凱爾的未婚妻，公爵大小姐斯卡蕾特，在舞會上突然被宣布解除婚約。 不僅被莫須有地指控騷擾正得王子寵愛，素未謀面...,連載,9.7
2005,專業輕小說作家！,歡樂向 後宮 JK JC 青梅竹馬,17.7萬,「你這白痴！這種人氣作品，我才不想在發售日當天買。不想幫書賣得比我好的作家增加初動！」 動畫爆死，專業意識高的輕小說...,完結,9.7
2006,墮天的狗神 -SLASHDOG-,奇幻 魔法 戰鬥 後宮,30.8萬,高中生幾瀨鳶雄的日常生活產生了驟變。 他的同學們因意外事故失蹤，稱作「虛蟬」的怪物也朝他襲擊而來。 就在鳶雄眼看就要...,連載,9.9
2007,身為沒朋友的死宅的我，不知不...,校園 歡樂向 青春 戀愛,15.6萬,既沒有朋友又是個御宅族，在班上還被當成笨蛋的高中生神崎海斗。 他只熱衷於和在網路上認識的連對方樣子都沒見過的女孩子的...,連載,9.7
2008,悠閑VRMMO記,奇幻 冒險 歡樂向 ,8.2萬,雙胞胎妹妹請求他擔任保護者的年輕人Tsugumi，參加了最新的VRMMO遊戲《REAL&MAKE》。在照顧著妹妹和她們的青梅竹馬三位女孩的同...,連載,9.8
2009,自由人生～異世界萬事通奮鬥記～,奇幻 冒險 龍傲天 後宮 人外,38.4萬,在異世界生活第三年的佐山貴大， 是萬事通「自由人生」的懶散店主。 但他的真實身分其實是連神都能打倒的世界最強等級封頂...,連載,10
2010,自稱惡役大小姐的婚約者觀察記錄,穿越 歡樂向 戀愛 大小姐,22.5萬,塞西爾王子太著美好輕鬆的生活。過著無聊日子的他，有一天，和侯爵千金芭提雅訂了婚，突然，他被告知有些奇怪的事。「塞西爾...,完結,9.9
2011,黑貓的王手！,青春 戀愛 歡樂向,7.5萬,一名少女向沒有女性存在的職業世界發起挑戰 關東年輕棋士團體『東龍門』擔任監修並傾情奉上，正統將棋愛情喜劇！ 以全勝戰...,連載,10
2012,閃偶大叔與幼女前輩,校園 歡樂向 後宮 青梅竹馬,30.7萬,黑崎翔吾是一名把自己的熱情投注在女童向偶像街機遊戲《閃亮偶像》的高中生。 就算被帶著小孩的父母「另眼看待」， 他還是...,完結,9.9
2013,我的宅女神,校園 奇幻 戰鬥 歡樂向 後宮 青梅竹馬,88.7萬,擁有半神半人血統的半天使‧名冢天人，決心告別自己過去熱愛打抱不平，懲奸扶弱的英雄稱號，重新以一個平凡無奇的人類身份活下...,完結,9.9
2014,史萊姆轉生。大賢者成為精靈養...,穿越 旅行 冒險 人外 女兒,34.3萬,身為稀世英雄，完成諸多豐功偉業的「大賢者」馬林·耶萊特，在身染不治之症後，於心愛養女們的照顧下與世長辭──原本應當是如此...,連載,8.1
2015,英雄霸道的狐巫女,奇幻 冒險 後宮 人外,9.9萬,在一個人類與「精靈獸」共存，一同走過漫長歷史的世界。繼承英雄血脈的少年‧亞爾夫卻只能召喚出小小的狐狸精靈獸，因而遭親生...,連載,9.8
2016,傭兵團的伙房兵,穿越 美食 冒險,25萬,故事要從志願成為廚師的青年•東朱里穿越到異世界的地方開始說起。撿到朱里的人是傭兵團的團長•剛古雷夫。在沒有伙房兵的傭兵...,連載,9.3
2017,異世界迷宮探索者,穿越 冒險 復仇 黑暗 獵奇,49.4萬,有一天高中生武田順平因為「神」的一時興起被召喚到異世界，作為祭品被推入了兇惡的迷宮裡。在生還率為零的怪物迷宮內，順平...,完結,9.7
2018,摩登男女,穿越 青春 戀愛,12.6萬,「大正娘的時間跳躍」 擁有著掌控時間之力的鐘錶——借時表。 大正7年（1918年），暫住在熟人的鐘錶店裡的景季， 因突然有人...,完結,9.9
2019,人造生命體與美麗新世界,奇幻 戀愛 青梅竹馬 人外 女兒,42.6萬,在特里提斯教國中，卡利亞斯堪稱首屈一指的實力派騎士。他和兒時玩伴費安娜一起在遺迹里發現了……一個小女孩！卡利亞斯決定保...,完結,9.6
2020,世界的中心、針山先生,奇幻 腦洞,40.8萬,以埼玉縣所澤市為舞台發生的種種事件。斧男藏於床下的都市傳說，突然衝破天花板飛舞降臨的魔法少女，自稱為勇者的居民們全部...,完結,10
2021,讓笨蛋登上舞台吧！,戰鬥 冒險 歡樂向,65萬,(為美好的世界獻上祝福！EXTRA） 「一旦沒錢，自然也沒有女人！」 （自稱）統治初學者城鎮阿克塞爾的小混混冒險者達斯特非...,完結,9.4
2022,約會大作戰 Date a Live（漫畫）,校園 奇幻 戰鬥 歡樂向 後宮 ,0萬,五河士道只是一名普通的高校二年生，然而在在四月十日，隨著一場奇怪的大爆炸，一名身穿盔甲手持大劍的神秘少女出現在了他的...,完結,9.7
2023,約會大作戰 DATE A PARTY 番外...,校園 魔法 冒險,0萬,描寫大熱門「Date·A·Live」的日常（？）的番外漫畫,完結,9.8
2024,魔法科高校的優等生（漫畫）,奇幻 校園 熱血 戰鬥,0萬,故事發生在二十一世紀末的日本。 魔法，這不是一個傳說，而是現代科學的一項技術，它被應用至今已經過了一個世紀。曾經被稱...,連載,9.8
2025,我喜歡的男孩，其實也是女孩,青春 戀愛 女性視角,10.3萬,升上高中的小春談了人生第一場戀愛。 對象是坐在她旁邊的「朧同學」──有著男孩子的身體和女孩子的靈魂。 撞見以女裝打扮走...,完結,10
2026,龍族嬌妻♡撒嬌,校園 青春 戀愛 後宮 人外,44.1萬,「勇海，跟我戰鬥，然後──娶我吧！」 才走進校門一秒就對我發出挑戰書，更正，是展開求婚，熱情過頭的少女── 龍族女孩愛咪...,完結,10
2027,夏天結束時，妳一死就完美無缺,青春 戀愛,7.2萬,★畫在療養院白牆上的孤獨鯨魚，和傾注在西洋跳棋盤上的心愿。 ★無處可去的少年與罹患絕症的少女，他們所選擇的「正確答案」...,完結,10
2028,♡好謎題的少女,校園 懸疑 青春 戀愛,47萬,藤崎高中第一美少女，早伊原樹里對戀愛沒有興趣。對友情也沒有興趣。當然，對社團活動也沒有興趣。她最情有獨鐘的是，隱藏於...,完結,9.5
2029,浴火の龍「沙羅曼達」的網路炎...,懸疑,10.8萬,以網路焰火為食的狂人們，狂妄廚二青年✕傲嬌女高中生✕電波系小學生✕etc. 賽博龐克（Cyberpunk）風格，華麗卻不符常理的偵探...,完結,10
2030,誰是最強鑒定士？～吃飽喝足的...,穿越 冒險 美食 後宮,82萬,釘宮悠利是突然被傳送到異世界的高中男生，他在地下城中迷路的時候，《深紅的山貓》的冒險者們保護了他。 他被傳送到異世界...,連載,9.9
2031,與你共度的第四次學園祭,校園 科幻 青春 戀愛 青梅竹馬,9.2萬,能繼續保持這樣的關係就足夠了。我是這麼想的——。 高二的秋天。 學園祭5天後將到來，在學園祭練習回來的路上，刻谷結羽太遇...,完結,9.9
2032,終奏的莉芙蓮 Refrain of Outro,奇幻 戰鬥 戀愛 人外,13萬,這是『缺失人性』的少年與『不像物件』的少女攜手譜寫的戀愛故事。由旋律、齒輪與心打造的奇幻劇目！ 操作『重力子』的特殊...,完結,10
2033,她宣告到：已至毀滅の時,懸疑 犯罪 異能,11萬,「你已至毀滅之時。」 異能犯罪搜查〈零局〉，一個專門管制操控他人心靈的〈篡心者〉的機構。該機構里最年輕的領隊──有著狼...,完結,9.2
2034,與佐伯同學同住一個屋檐下 I'll ...,校園 歡樂向 青春 戀愛,46.2萬,高中二年級的春天，我──弓月恭嗣原本預定開始一個人住，老天卻開了一個玩笑，由於房仲的疏失，我必須與小我一歲的女生，佐伯...,完結,9
2035,IS,校園 戰鬥 機戰 後宮 青梅竹馬,101.7萬,IS學園是一所培養只對女性有反應的兵器──「InfiniteStratos」（IS）操縱者的學校。該校聚集了來自世界各國的少女們，她們以候...,連載,9.8
2036,反戀主義同盟！,校園 歡樂向 青春 戀愛 後宮,81.7萬,「放棄戀愛吧！所有的愛情都是幻想！」 在下著雪的聖誕夜，澀谷到處都是情侶。對街上的光景感到厭煩的非現充高中生──高砂遇...,完結,9.9
2037,發條精靈戰記 天鏡的極北の星,奇幻 戰爭 戀愛 後宮,193.5萬,卡托瓦納帝國是與鄰接的齊歐卡共和國處於戰爭狀態的大國。在其國境之內的某個角落，有一名因為某些內情，而以不情不願的態度...,完結,9.9
2038,Veildeman假說,懸疑 犯罪,13萬,第100本著作 天衣無縫的新時代entertainment（娛樂小說） 除我之外，全員「名偵探」 爺爺是推理作家，奶奶是法醫學者， ...,完結,9.6
2039,二十世紀電氣目錄,青春 戀愛,14.2萬,「你會和我一起死去，帶我到那片極樂凈土嗎？」 明治四十年。夏季。住在京都伏見的百川稻子，無論什麼事情也做不好，每天都...,完結,10
2040,赤村崎葵子的分析是瞎扯淡,校園 懸疑 戀愛 青梅竹馬 ,32.5萬,這是認真的？果真是廢話吧？新感覺「分析」系故事！ 分析社——那是由社長赤村崎葵子對一切現象進行（擅自）分析，通過別人無...,完結,9.9
2041,靠心理學的異世界後宮建國記,穿越 歡樂向 戀愛 後宮,22.9萬,難波心太是個雖然非常喜歡女生，卻懷有女性恐懼症（兼溝通障礙）， 甚至無法好好和女生交談，天生走狗屎運的高中男生。 他...,完結,9.6
2042,魔王陛下RETRY！,穿越 魔法 戰鬥 歡樂向 龍傲天 後宮,11.8萬,最強魔王為異世界帶來恐怖與歡笑！ 平凡無奇的社會人士‧大野晶，在以人稱「魔王」的角色登入自己負責營運的遊戲時，竟穿越到...,連載,9.9
2043,即刻救世主,奇幻 復仇 後宮,13.4萬,「首失之地（FirstLost）」──魔族進攻人類踏出的第一步造成某個小村莊自地圖上消失的慘劇。鄰居與心愛的家人慘遭魔族大軍屠殺...,完結,9.8
2044,她的L～騙子們的攻防戰～,校園 懸疑 青春 戀愛,8.8萬,她的「L」，究竟是「LOVE」還是「LIE」？ 滿口謊話的女生vs.不會說謊的女孩vs.能夠看穿謊言的男生 一場願望、謊言與戀愛交...,完結,9.8
2045,神話傳說英雄的異世界奇譚,穿越 戰爭 龍傲天 後宮,198.3萬,奧黑比呂過去曾被召喚到一個名為亞雷堤爾的異世界，以《軍神》的身分與同伴攜手拯救了國家，並征服周遭諸國，建立起龐大的帝...,完結,9.7
2046,敗犬の牙FANG OF UNDERDOG,奇幻 異能 戰鬥 人外,34.1萬,即使是喪家之犬，依然擁有獠牙。 所謂的「陣」，是一種可以操控世間萬物的命令。這是由一個曾經存在的國家「日本」所研發出...,連載,9.9
2047,TARI TARI~既是萌芽 又是照耀 ...,青春 戀愛 群像,8.7萬,「創作如今的我們的歌曲。」 合唱偶爾羽毛球部，時隔10年的夏日合宿！！ 描寫P.A.WORKS的動畫作品《TARITARI》的十年後的後...,連載,10
2048,七個時雨澤惠一 Seven sigsawa,腦洞,9.6萬,本書作者：木崎千秋、聽貓芝居、九岡望、甲田學人、時雨澤恵一、夏海公司、成田良悟、和原聰司 「自本日起截至當期四月十日...,完結,10
2049,在大國開外掛，輕鬆征服異世界！,穿越 歡樂向 龍傲天 後宮 人外,28.5萬,平梵谷中生──日和常信一醒來， 發現自己被召喚到異世界，當上了冒牌皇帝。 被從屬魔法奪走自由── 結果，召喚的主人帝國公...,連載,9
2050,金色文字使 被四名勇者波及的獨...,穿越 魔法 龍傲天 後宮 人外,174.5萬,熱愛美食與閱讀的「獨行俠」高中生丘村日色，和班上的四個現充同學一起闖入了異世界。 受到希望他們以「勇者」身分拯救「人...,完結,9.7
2051,魔法師塔塔,穿越 魔法 戰鬥 青春 黑暗,35.5萬,2015年7月22日12點20分。 自稱異世界魔法師的謎樣女性塔塔突然間出現在弘橋高中一年A班的教室。 這正是有如童話「哈梅爾的...,完結,10
2052,突西亞戰記 十二騎士團的反叛軍師,復仇 戰爭 後宮 ,23.3萬,號稱西方大陸突西亞最強的格拉尼亞帝國〈黑天騎士團〉，身為其中一員的席昂遭到祖國出賣，家破人亡。誓言復仇的少年苦心求得...,連載,10
2053,扮演成渣勇的我，不知為何被las...,歡樂向 戀愛 龍傲天,10.5萬,在與毀滅世界的魔神【迪米爾戈斯】決戰的跟前，遭到同伴們的唾棄而變成獨自一人的勇者亞雷斯。 實際上，他是不想讓同伴們參...,連載,9.8
2054,戀♡的死神，與我遺忘的夏天,校園 奇幻 青春 戀愛,6.5萬,無論相遇、分離多少次，這場刻劃在你我心頭的戀愛，永不褪色—— 那一天，我與死神少女邂逅了。 而令少女落淚的真實，是深埋...,完結,9.9
2055,華志摩同學,懸疑 犯罪,18.1萬,位於北關東地區某縣的韻雅市發生了獵奇殺人事件。儘管慘絕人寰的事情接連發生，警方仍無法掌握犯人的真面目。幾乎就在同一時...,連載,9.8
2056,爆肝工程師的異世界狂想曲（漫畫）,穿越 戰鬥 旅行 龍傲天 後宮 人外,0萬,本應在假寐的程序員鈴木一郎（29歲，遊戲ID：佐藤）醒來卻發現自己被放逐到了異世界！混亂的心情尚未平復卻又面臨前所未見的...,連載,8.9
2057,外掛級補師勇闖異世界迷宮！,穿越 冒險 後宮 龍傲天 人外,32.3萬,身為MMORPG「實況迷宮！」廢人玩家的努， 才因為終於打倒最終頭目而開心沒多久， 睜開眼來卻已經身在與遊戲幾乎相同的異世...,完結,9.4
2058,OUTBREAK COMPANY 萌萌侵略者,穿越 歡樂向 後宮 人外,220.3萬,單純只是個高中輟學生的慎一，有一天忽然被帶到如此脫離常軌的狀況中。雖然慎一擁有輕小說作家的父親與H-Game原畫師的母親，...,完結,9.8
2059,少女妄想中,輕文學 青春 戀愛 女性視角,11.5萬,「我想，這應該就是我的初戀吧！」 我總是追著那個人的身後，「嚮往」著她。 在夢中，我和在海邊的那個女孩，度過了無可取...,完結,9.7
2060,在海邊醫院對她說過的那些故事,科幻 異能 戀愛,12.7萬,上原蒼造訪了海邊醫院，探望一位沉睡的少女，與一位遲遲無法出院的少女。 過去，蒼突然罹患神秘怪病，也曾在此住院。與他罹...,完結,9.9
2061,沒路用的魔獸煉磨師,奇幻 校園 戰鬥 後宮,60.2萬,在這個世界裡，一切優劣勝敗都由與生俱來的魔獸紋章來決定。 「魔獸煉磨師」能夠馴服魔獸、指示它們戰鬥；而培育這些人才的...,連載,10
2062,終將成為你 關於佐伯沙彌香,校園 青春 戀愛 女性視角,24萬,★純愛百合漫畫《終將成為你》的外傳小說！ ★由《安達與島村》作者，鬼才小說家入間人間執筆！ 因為國中時代慘痛的失戀，...,完結,9.9
2063,Steins；Gate命運石の門 變移空...,科幻 懸疑 戀愛 後宮 青梅竹馬,17.3萬,命運石之門8bit遊戲小說化，世界線變動率「1.048728」。 2010年夏，岡部倫太郎經過「那場戰鬥」，到達了命運石之門世界線。 ...,完結,9.9
2064,再也不綁架了,懸疑 青春 戀愛,17萬,七月半，學校放暑假。大學生樽井翔太郎想要打工，賺點零花錢，但是，怎麼找都找不到，清閑又有錢、還能認識漂亮女孩子的好工...,完結,10
2065,夏日時光旅人 Summer／Time／Tr...,科幻 青春,18.1萬,那個奇妙的夏天，在被未來拋棄的我們的小城邊里，我的青梅竹馬悠有第一次向未來跳躍了時空——只有三秒。禁閉在「大山」上的大...,完結,10
2066,異褲星人大作戰,奇幻 校園 歡樂向 青春 人外,19.9萬,當姬川響子在交通事故中陷入瀕死狀態時，被善良的宇宙生命體史崔普寄生而得救。 響子向直接與她內心對話的史崔普，坦白道出...,完結,9.9
2067,旅貓日記,旅行 人外,10.3萬,可以遇見你，僅只如此，就能讓我感受到巨大的幸福。 我和悟，原本只是不即不離的泛泛之交而已，直到一次車禍意外，讓原本是...,完結,9.7
2068,真傳勇傳·革命篇 墮落黑勇者的傳說,奇幻 魔法 冒險 戰爭 後宮,3.6萬,《傳說中勇者的傳說》前傳小說 曾經有一個腐敗的國家。瘋狂的國王，充滿慾望的貴族，統治那個國家——貪婪地吞噬著人民的生命...,連載,9.9
2069,吾輩是歐克。女騎士還沒出現。,校園 歡樂向 後宮 人外,11.4萬,矢澤琢郎是一名歐克。是個虛有其名的文藝社社長，還沒有任何新生加入。 「從今天起這個社團，就是《豬之騎士團》了！」 四...,完結,9.9
2070,無屬性魔法的救世主,穿越 魔法 戰鬥 龍傲天 後宮,15.3萬,一名男子因交通事故喪失性命，但是他在另一個世界重獲新生，以亞斯拉這個身分成功轉世，同時依然保有前世的記憶……他轉生到一...,連載,10
2071,機動戰士高達W 冰結的淚滴,科幻 機戰 戰爭,71.9萬,《鋼彈W》十年後的世界，揭發那段曾被隱密的歷史!! 故事舞台是電視動畫版的數十年後未來—— 希洛一直以來都沉睡於名為「睡美...,完結,10
2072,彈丸論破Dangan Ronpa∕Zero,校園 懸疑 犯罪 鬥智 獵奇 大逃殺,31.6萬,基於「才能才是人類的希望」這一理念，聚集了各種《超高校級》的才能，私立希望之峰學園發生了學園史上最大最惡的事件……。 ...,完結,9.8
